Email_Body,polarity,subjectivity,num_words_doc,email_title,date_time,document_idx,newpaper_title
"NikeInc. yesterday named Georgetown University basketball coach John Thompson to its board of directors.Thompson, aNikespokesman since 1980, becomes the first minority-race board member atNike, which expects $ 3 billion sales in sports and fitness shoes, clothing and accessories for its fiscal year ending May 31.&nbsp;The naming of Thompson follows criticism last July by Operation PUSH and its leader, Jesse Jackson, thatNikewas exploiting blacks and had none in upper management. In August, Operation PUSH urged a boycott ofNikeproducts, andNikepublicly said it would name a black to its board within a year. The next month, Thompson arranged a meeting in his office between Operation PUSH andNikeofficials.&quot;I've had an opportunity to know [Nikechairman] Phil Knight,&quot; Thompson said on a tape provided by Georgetown. &quot;I have a lot of interest and a lot of curiosity, particularly as it applies to the business world. And this will afford me an opportunity to expand my knowledge and at least give some more input of my feelings about the business world.&quot;Thompson will make $ 10,000 a year to sit on the board, plus $ 2,000 for each of six annual board meetings. His first board meeting is next month.",0.07,0.24,205 words,Thompson Put OnNike'sBoard,1991-05-22 00:00:00,1 of 998 DOCUMENTS,The Washington Post
"&nbsp;Nikehas an unusual rival in the Barcelona Olympics: Juan Amigo Freixas, a Spanish lawyer who says he owns theNiketrademark in Spain.In 1981, Freixas bought this 1932 trademark from a knitwear manufacturer: a photo negative of the headless Winged Victory of Samothrace, a statue in Paris' Louvre Museum that has ''Nike''on its pedestal.&nbsp;That, he says, gives him theNiketrademark for apparel in Spain.Nikeprotested, but a Spanish civil court ruled otherwise, enjoiningNikefrom selling apparel there.Nikehas lobbied various U.S. government agencies and trade groups in a two-year legal battle and has appealed to the Spanish Constitutional Court - which might rule soon.Until then,Nikehopes for a reversal, or at least a ruling that doesn't broaden Freixas' claim beyond apparel. And, saysNikecounsel Lindsay Stewart, the company has made contingency plans: ''The obvious gift of a T- shirt wouldn't be included in our giveaways.''",-0.0222222222222,0.333333333333,161 words,Nikebattles over trademark in Spain,1992-06-17 00:00:00,5 of 998 DOCUMENTS,USA TODAY
"NikeInc. filed a lawsuit today against L.A. Gear Inc., charging its rival with incorporating aNike-patented design in its new Catapult basketball shoe.The suit, filed in Federal District Court here, says some elements of L.A. Gear's Catapult cushioning system infringes twoNikepatents. The patents, covering whatNikecalls a &quot;spring moderator device,&quot; are not now used in the company's shoes. Instead,Nikehas an air-cushioning system that uses pressurized gas.&nbsp;LikeNike'sspring moderator, L.A. Gear's Catapult shoe has a cushioning system designed to improve the jumping performance of wearers.WhileNike,based in Beaverton, Ore., does not use its system on any shoe, Lindsay Stewart,Nike'sgeneral counsel, said it was important for the company to protect its designs. &quot;We spend a lot of money on research and development and we don't want to see it abused.&quot;An L.A. Gear spokesman did not immediately return a telephone call seeking comment.",0.268181818182,0.727272727273,163 words,L.A. Gear Shoe SpursNikeSuit,1991-02-28 00:00:00,8 of 998 DOCUMENTS,The New York Times
"Next week, newspaper ads paid for by a Washington D.C.-area foundation will ask you to send your ''dirty, smelly, worn-out''Nikeshoes toNikechairman Philip Knight and to not buy a pair untilNikebuilds ''a manufacturing plant'' in the USA.ButNikespokesman Dusty Kidd says that might leave you barefoot: ''You can't make shoes profitably in this country.&nbsp;People wouldn't buy them. They'd be too expensive.''The ads will come from Made in the USA, a Chevy Chase, Md., foundation whose backers include labor unions and manufacturers. The group wants to call attention to its claim that 65,000 U.S. footwear jobs were lost in the 1980s. It plans to spend about $ 1 million on ads targetingNike,says chairman Joel Joseph.Nikeshoes are assembled in Asia. ButNike'sKidd says that shoe components are made in the USA, creating 1,162 full-time jobs inNike'sU.S. work force.Made in the USA saysNike'sAsian subcontractors pay Indonesian workers 14 cents an hour.Nike'scounter: That's four times the average local wage.",-0.207142857143,0.371428571429,175 words,Group to nailNikefor loss of U.S. jobs,1992-10-28 00:00:00,11 of 998 DOCUMENTS,USA TODAY
"He's in the World Series, but you haven't seen Deion Sanders'sNikecommercials during CBS broadcasts of the games - and you probably won't.That doesn't meanNikeInc. is fed up with Mr. Sanders, as many fans were after the seventh game of the National League Championship Series celebration, when he poured buckets of water on CBS sportscaster Tim McCarver, apparently in retaliation for some on-the-air criticism.&nbsp;Nikestill stands behind Mr. Sanders, a Braves outfielder and a Falcons cornerback whomNikepays $ 1 million a year to endorse its cross- training sneakers. His commercial just ran out its two-month cycle,Nikesaid.&quot;He had a rough week,&quot; said company spokesman Dusty Kidd of the McCarver controversy and of some fans' criticism that Mr. Sanders is more concerned about hisNikedeal - which pays him an extra $ 900,000 a year to shuttle between the Braves and Falcons - than he is about the Braves winning the World Series.&quot;But he's still a .300 hitter, he still had the most triples in the [National] league, and he's still an All-Pro cornerback,&quot; said Mr. Kidd. &quot;In some people's minds, maybe [the controversy] does tarnish him. But we stand behind him.&quot;GRAPHIC:Photo: Brave/Falcon Deion Sanders appears as himself - &quot;out of control&quot; - in aNikesneakers ad. /Nike",0.0269230769231,0.423076923077,199 words,"Ad over, butNikebacks Sanders",1992-10-20 00:00:00,14 of 998 DOCUMENTS,The Atlanta Journal and Constitution
"Despite stumbling in the fourth quarter,NikeInc. Wednesdayreported record earnings and revenue for its fiscal year ended May 31.The nation's largest maker of athletic shoes said annual revenue rose36% to $ 3 billion from $ 2.2 billion last year. Net income rose 18% to$ 287 million, or $ 3.77 a share, vs. $ 243 million, or $ 3.21 a share, in1990.&nbsp;Piper Jaffray repeated its strong buy recommendation afterNikespoke optimistically about the current quarter. InNike'sfourthquarter, net income fell 13% to $ 58.6 million, or 76 cents a share, vs.$ 67.2 million, or 89 cents a share, last year. Revenue rose 18% to$ 719 million, vs. $ 609 million.NikeChairman Philip Knight said half ofNike'sfiscal 1991 growthcame from abroad, where revenue jumped 80% to $ 862 million.Nikesharesrose 1 1/4 to $ 42 1/2.Other earnings Wednesday:2nd qtr. - Abbott Laboratories, net income of $ 268.3 million vs.$ 240.2 million (+12%), per share 63 cents vs. 55 cents (+15%); CBS,operating income of $ 50.7 million vs. $ 138 million (-63%), per share$ 3.31 vs. $ 5.36 (-38%); Federal National Mortgage Association, netincome of $ 331.5 million vs. $ 320 million (+4%), per share $ 1.21 vs.$ 1.10 (+10%); Motorola, net income of $ 119 million vs. $ 161 million(-26%), per share 90 cents vs. $ 1.22 (-26%); Student Loan MarketingAssociation, net income of $ 64.7 million vs. $ 74 million (-13%), pershare 87 cents vs. 72 cents (+21%); Vons, operating income of $ 15.8million vs. $ 10.4 million (+52%), per share 40 cents vs. 27 cents(+48%).3rd qtr. - King World Productions, net income of $ 16 million vs.$ 14.2 million (+13%), per share 40 cents vs. 36 cents (+11%).4th qtr. - ConAgra, net income of $ 99.4 million vs. $ 73.5 million(+35%), per share 65 cents vs. 59 cents (+10%).KNIGHT: Optimistic outlook.",0.0977777777778,0.222222222222,314 words,Earnings reports:Nikeruns up a record year,1991-07-11 00:00:00,16 of 998 DOCUMENTS,USA TODAY
"&nbsp;Nikesays it can turn your worn-out sneakers into sleek new ones.Basically,Nike'sprocess grinds and pulverizes whole shoes to make material that can be used for the outer soles of new shoes.&nbsp;Nikesays it can completely recycle every shoe it makes except the ones with cleats. So far, it doesn't have machinery to separate metal from rubber and fiber.The firstNikesto contain recycled material will be in stores next spring. The shoe will be a version of one ofNike'sbest sellers: the Air Escape Low, a mid priced outdoor cross trainer.Nikesays a sole with up to 20% recycled material performed as well and sometimes better than regular soles in laboratory tests.Nikesays once it gets its patent, it will let other companies use its recycling method.''Maybe at some point - way in the future - we'll have a system where shoes can be 100% recycled, where you never throw a pair away. You always take them back like bottles or other common recyclables,'' saysNike'sDusty Kidd.CORRECTION:Nike'snew technology for recycling shoes into new athletic shoes is featured in Omni magazine's August issue, out today. Clarification ran 7/28/92.",0.0421717171717,0.314753302253,168 words,Nikeset to recycle old shoes,1992-07-27 00:00:00,19 of 998 DOCUMENTS,USA TODAY
"&nbsp;NikeInc. of the U.S. expects to report relatively flat earnings in its second fiscal quarter ended Nov. 30, says chairman Philip H. Knight.A year earlier, the sports shoe and apparel maker earned US$58.1 million (C$66.4 million), or US77 cents a share.&nbsp;Knight indicated thatNike'sper-share earnings for the recently completed second quarter ranged from US75 cents to US80 cents.In recent years,Nikehas commonly reported big quarterly earnings jumps, but a flat second quarter would be something of a victory in these recessionary times.Knight declined to give specific estimates and didn't discuss revenues for the period. A year ago,Nikehad revenues of US$648.8 million. Knight's comments indicate thatNikewill earn roughly between US$57 million and US$61 million for the fiscal second quarter.In the fiscal first quarter,Nikeearned US$114.4 million (US$1.50 a share) on revenue of US$947.2 million. Fiscal first quarter earnings were 15% above profits in the year-earlier first quarter.",0.0176470588235,0.204411764706,173 words,Nikesees flat earnings,1991-12-16 00:00:00,22 of 998 DOCUMENTS,"The Financial Post (Toronto, Canada)"
"&nbsp;&nbsp;&nbsp;&nbsp;NikeInc., which paid millions to put its name on the U.S. track and field team's uniforms at the Barcelona Olympics, is appealing a stunning high court decision that bars the advertising or sale ofNikeapparel in Spain, a company attorney said yesterday.Spain's Constitutional Court last week refused to lift a lower court order prohibiting the Beaverton, Ore.&nbsp;-based company from using theNikename on clothing because a Barcelona firm registered the trademark first in 1932.&nbsp;Nike, whose shoes are not affected by the ruling, planned to use the Olympics promotional campaign to launch a new line of sports clothes.If further legal actions fail - and if the courts rule the injunction bars U.S. athletes from wearingNikeuniforms - the firm stands to lose US$20 million in sales in Spain alone and many times that sum worldwide.''We do not believe we've lost the battle by any means, much less the war,'' said John Faylor,Nike'sEuropean lawyer.But the decision clearly leftNikeat a disadvantage in its long-running dispute with Juan Amigo Freixas, the Barcelona lawyer who bought theNikename from the original registrant, who briefly made socks during the 1930s.Amigo has reportedly askedNikefor US$30 million for rights to the brand, according to Faylor, who has called the Spaniard a ''pirate.''&nbsp;Nike, however, claims the decision won't keep athletes from wearing its name when the Games open on July 25 because the International Olympic Committee does not consider the uniforms to be a form of advertising or promotion.",0.0919276094276,0.401548821549,263 words,Nikefights Olympic court ban,1992-07-07 00:00:00,24 of 998 DOCUMENTS,"The Financial Post (Toronto, Canada)"
"NikeInc. has countersued Avia Group International Inc., contending that the shoemaker is making shoes that useNike'ssole-cushioning technology. Bill Dragon, Avia's president, denied the contentions, accusingNikeof &quot;typical arrogance.&quot; Avia, based in Portland, had suedNikelast month for infringing patents for its Cantilever sole, a system in the concave sole that directs the shock of impact away from ankles and knees. Avia seeks to block sales ofNikeAir 180 running shoes, which it says copy the Cantilever technology. Avia is also asking for unspecified damages.In its counterclaim,Nike,No. 1 in the athletic footwear industry, contends that Avia abandoned its original Cantilever outsole, rendering the patent invalid. The company, based in Beaverton, outside Portland, further contends that Avia products infringe twoNikepatents. Avia is owned by Reebok International Ltd.",0.0535714285714,0.257142857143,150 words,COMPANY NEWS;NikeCountersues Avia Over Patent,1991-05-25 00:00:00,26 of 998 DOCUMENTS,The New York Times
